sssom_subject_id	sssom_subject_label	sssom_subject_category	sssom_predicate_id	sssom_object_id	sssom_object_label	sssom_object_category	sssom_mapping_justification	sssom_author_id	sssom_author_label	sssom_reviewer_id	sssom_reviewer_label	sssom_creator_id	sssom_creator_label	sssom_subject_type	sssom_object_type	sssom_mapping_date	sssom_object_match_field	sssom_comment	semapv_RegexRemoval	object_source_version	object_url	subject_url	object_namespace
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:county	County	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1265	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/county	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:municipality	Municipality	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1266	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/municipality	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimLocality	Verbatim Locality	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1267	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLocality	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:island	Island	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257|orcid:0000-0002-5669-2769	Mathias Dillen|Sam Leeflang			https://orcid.org/0000-0002-3973-1268	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/island	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:verbatimCoordinates	Verbatim Coordinates	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1269	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimCoordinates	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLongitude	Verbatim Longitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1272	Mathias Dillen	rdf property	rdf property	2023-09	dwc:verbatimLongitude|dwc:verbatimLatitude	All properties in object_match_field need to be present		http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLongitude	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	owl:intersectionOf	dwc:verbatimLatitude	Verbatim Latitude	dwc:Location	semapv:HumanCuration	orcid:0000-0002-3973-1257	Mathias Dillen			https://orcid.org/0000-0002-3973-1273	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/verbatimLatitude	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:continent	Continent	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1274	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/continent	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:country	Country	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1275	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/country	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:countryCode	Country Code	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1276	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/countryCode	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:islandGroup	Island Group	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1277	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/islandGroup	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:stateProvince	State Province	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1278	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/stateProvince	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:waterBody	Water Body	dwc:Location	semapv:HumanCuration	orcid:0000-0002-5669-2769	Sam Leeflang			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/waterBody	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
mids:QualitativeLocation	Qualitative Location	mids:MIDS2	skos:narrowMatch	dwc:higherGeography	Higher Geography	dwc:Location	semapv:HumanCuration	orcid:0000-0001-9144-2848	Elspeth Haston			https://orcid.org/0000-0002-3973-1279	Mathias Dillen	rdf property	rdf property	2023-09				http://rs.tdwg.org/dwc/terms	http://rs.tdwg.org/dwc/terms/higherGeography	https://tdwg.github.io    /mids-reorganization/information-elements#QualitativeLocation	dwc
