namespace,term_local_name,label,definition,usage,notes,examples,rdf_type,class_name,is_required,is_repeatable,compound_name,namespace_iri,term_iri,term_ns_name,datatype,enum
ods:,topicName,Topic Name,Kafka topic through which the MAS receives messages. Defaults to PID of MAS,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.topicName,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/topicName,ods:topicName,string,
ods:,maxReplicas,Max Replicas,The maximum amount of this MAS that can simultaneously run without causing issues,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.maxReplicas,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/maxReplicas,ods:maxReplicas,integer,
ods:,batchingPermitted,Batching Permitted,"Whether or not this MAS can create Batch Annotations. MAS outputs must then comply with batchMetadata, see https://schemas.dissco.tech/schemas/annotations/0.1.0/annotation-event.json",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.batchingPermitted,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/batchingPermitted,ods:batchingPermitted,boolean,
ods:,timeToLive,Time To Live,Time in milliseconds the MAS message may remain in the Kafka Queue before being marked as timed out. Min 1 hour.,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,True,False,MachineAnnotationService.timeToLive,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/timeToLive,ods:timeToLive,integer,
ods:,TombstoneMetadata,Tombstone Metadata,Object containing the tombstone metadata of the object,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.TombstoneMetadata,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstoneMetadata,ods:TombstoneMetadata,object,
ods:,hasEnvironmentalVariable,Has Environmental Variable,"Environmental variables to supply to the MAS, non-sensitive",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.hasEnvironmentalVariable,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasEnvironmentalVariable,ods:hasEnvironmentalVariable,array<ods:EnvironmentalVariable>,
ods:,hasSecretVariable,Has Secret Variable,Secret variables to supply to the MAS,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,MachineAnnotationService,False,False,MachineAnnotationService.hasSecretVariable,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasSecretVariable,ods:hasSecretVariable,array<ods:SecretVariable>,
ods:,TombstoneMetadata,Tombstone Metadata,"The tombstone metadata about the tombstoned digital object, including the what, who and when of the tombstoning.",,,,http://www.w3.org/2000/01/rdf-schema#Class,TombstoneMetadata,False,True,TombstoneMetadata,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstoneMetadata,ods:TombstoneMetadata,,
ods:,tombstoneDate,Tombstone Date,Timestamp the Digital Object was tombstoned and no longer active.,,,2021-06-01T12:00:000Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.tombstoneDate,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/tombstoneDate,ods:tombstoneDate,string,
ods:,tombstoneText,Tombstone Text,A reason why the Digital Object was tombstoned,,,This is a duplicate of XXX| This object was made by mistake,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.tombstoneText,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/tombstoneText,ods:tombstoneText,string,
ods:,TombstonedByAgent,Tombstoned By Agent,"The agent who tombstoned the object, contains an ods:Agent object",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,True,False,TombstoneMetadata.TombstonedByAgent,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/TombstonedByAgent,ods:TombstonedByAgent,object,
ods:,hasRelatedPID,Has Related PID,The PIDs of the object the tombstoned object is related to,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,TombstoneMetadata,False,False,TombstoneMetadata.hasRelatedPID,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasRelatedPID,ods:hasRelatedPID,array<object>,
ods:,Agent,Agent,"A generic agent class, containing information about the actor who performed an activity. This could be a person, an organization or a machine.",,,,http://www.w3.org/2000/01/rdf-schema#Class,Agent,False,True,Agent,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/Agent,ods:Agent,,
schema:,name,Name,Full name of the agent,,,John Smith,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,roleName,Role Name,"Indicates the role of the agent, https://schema.org/roleName",,,collector| preparer| identifier| recorder,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.roleName,http://schema.org/,http://schema.org/roleName,schema:roleName,string,
schema:,startDate,Start Date,Date the agent began the role,,,2023-10-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.startDate,http://schema.org/,http://schema.org/startDate,schema:startDate,string,
schema:,endDate,End Date,Date the agent ended the role,,,2023-09-02T12:31:34.806Z,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.endDate,http://schema.org/,http://schema.org/endDate,schema:endDate,string,
ods:,roleOrder,Role Order,Order of the agent in the role. Can be used to indicate the order of importance,,,1| 2,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.roleOrder,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/roleOrder,ods:roleOrder,integer,
schema:,email,Email,"Email of the agent, can be present in case the agent is a maintainer of a MAS",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.email,http://schema.org/,http://schema.org/email,schema:email,string,
schema:,url,URL,"URL of the agent, can be present in case the agent is a maintainer of a MAS",,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.url,http://schema.org/,http://schema.org/url,schema:url,string,
ods:,hasIdentifier,Has Identifier,Contains zero or more ods:Identifier objects,,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,Agent,False,False,Agent.hasIdentifier,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/hasIdentifier,ods:hasIdentifier,array<ods:Identifier>,
ods:,SecretVariable,Secret Variable,A class containing information about which secret the Machine Annotation Service requires. The secret value will be supplied separately to DiSSCo.,,,,http://www.w3.org/2000/01/rdf-schema#Class,SecretVariable,False,True,SecretVariable,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/SecretVariable,ods:SecretVariable,,
schema:,name,Name,The name of an environmental variable stored remotely,,,database.password| keycloak.secret,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,SecretVariable,False,False,SecretVariable.name,http://schema.org/,http://schema.org/name,schema:name,string,
ods:,secretKeyRef,Secret Key Ref,The name of the key stored in the secret store. NOT the secret's value.,,,db-password,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,SecretVariable,True,False,SecretVariable.secretKeyRef,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/secretKeyRef,ods:secretKeyRef,string,
ods:,EnvironmentalVariable,Environmental Variable,A class containing information about which (non-secret) environmental values the application requires.,,,,http://www.w3.org/2000/01/rdf-schema#Class,EnvironmentalVariable,False,True,EnvironmentalVariable,http://rs.dissco.eu/opends/terms/,http://rs.dissco.eu/opends/terms/EnvironmentalVariable,ods:EnvironmentalVariable,,
schema:,name,Name,The name of a non-sensitive property or environmental variable,,,server.port| spring.profiles.active,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EnvironmentalVariable,False,False,EnvironmentalVariable.name,http://schema.org/,http://schema.org/name,schema:name,string,
schema:,value,Value,"Value to be stored in the ""name"" field. NOT for sensitive information.",,,8080| web-profile,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,EnvironmentalVariable,True,False,EnvironmentalVariable.value,http://schema.org/,http://schema.org/value,schema:value,"['string', 'integer', 'boolean']",
